Track Name,Artist Name(s),Album Name,Album Artist Name(s),Track Duration (ms),Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,simplified_genre
Talk Is Cheap,Chet Faker,Built On Glass,Chet Faker,218067,0.656,0.61,-7.894,0.171,0.416,1.72e-4,0.245,0.52,140.058,pop
Radioactive,Imagine Dragons,Night Visions,Imagine Dragons,186813,0.448,0.784,-3.686,0.0627,0.106,1.08e-4,0.668,0.236,136.245,rock
She Is Love,Parachute,Losing Sleep,Parachute,146066,0.629,0.174,-9.697,0.141,0.616,0,0.118,0.305,134.297,pop
Pure Shores,All Saints,All Hits (Special Edition),All Saints,268746,0.631,0.664,-9.197,0.0242,0.0498,4.08e-4,0.0696,0.407,100.621,pop
YMCA - Original Version 1978,Village People,YMCA,Village People,286800,0.723,0.969,-4.516,0.142,0.0643,0,0.115,0.728,126.653,pop
Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",Rather Be (feat. Jess Glynne),Clean Bandit,227833,0.799,0.586,-6.735,0.0377,0.162,2.03e-6,0.193,0.549,120.97,pop
Youth (feat. Khalid),"Shawn Mendes, Khalid",Youth (feat. Khalid),"Shawn Mendes, Khalid",189973,0.625,0.589,-6.627,0.0858,0.518,0,0.197,0.33,100.003,pop
Give Me the Meltdown,Rob Thomas,Cradlesong,Rob Thomas,192786,0.633,0.767,-5.559,0.035,0.0465,0,0.15,0.961,106.021,pop
Help! - Remastered 2009,The Beatles,Help! (Remastered),The Beatles,139560,0.534,0.725,-7.576,0.0332,0.188,0,0.0994,0.763,95.003,rock
Beating Heart,Birdy,Beautiful Lies (Deluxe),Birdy,230426,0.406,0.401,-6.967,0.0328,0.64,1.85e-6,0.118,0.218,139.862,pop
We Didn't Start the Fire,Billy Joel,Storm Front,Billy Joel,287733,0.712,0.967,-5.206,0.047,0.0771,0,0.356,0.895,145.024,rock
Jingle Jangle,The Archies,Sugar Sugar,The Archies,162150,0.625,0.472,-11.18,0.0387,0.0368,0,0.148,0.617,109.302,rock
Abracadabra,Steve Miller Band,Steve Miller Band,Steve Miller Band,307400,0.79,0.537,-13.272,0.036,0.0775,3.01e-6,0.173,0.964,127.511,rock
Viva Forever,Spice Girls,Spiceworld,Spice Girls,310666,0.473,0.698,-8.133,0.0349,0.0648,0.231,0.136,0.21,168.817,pop
Water Under The Bridge,Adele,25,Adele,240439,0.59,0.833,-6.503,0.0615,0.0142,5.35e-6,0.105,0.537,94.963,pop
Come And Get It - Remastered 2010,Badfinger,Magic Christian Music (Remastered 2010 / Deluxe Edition),Badfinger,143213,0.616,0.629,-6.9,0.0263,0.0285,1.32e-6,0.208,0.606,94.004,rock
#thatPOWER,"will.i.am, Justin Bieber",#willpower (Deluxe),will.i.am,279506,0.797,0.608,-6.096,0.0584,0.00112,7.66e-5,0.0748,0.402,127.999,pop
Up,Cardi B,Up,Cardi B,156944,0.864,0.803,-5.923,0.245,0.0017,0.021,0.0488,0.805,166.053,pop
Turn Up The Love,"Far East Movement, Cover Drive",Dirty Bass (Deluxe),Far East Movement,195960,0.752,0.872,-4.186,0.117,0.12,0,0.234,0.677,123.888,pop
Already Gone,Kelly Clarkson,All I Ever Wanted,Kelly Clarkson,281560,0.209,0.872,-2.996,0.0757,0.217,0,0.0768,0.294,78.139,pop
My Love,Petula Clark,Downtown - The Best of Petula Clark,Petula Clark,164981,0.316,0.839,-8.343,0.0485,0.789,1.44e-6,0.35,0.509,169.906,rock
ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),Surf Mesa,176546,0.674,0.774,-7.567,0.0892,0.0686,0.00188,0.393,0.33,112.05,pop
Runaway (U & I),Galantis,Pharmacy,Galantis,227073,0.506,0.805,-4.119,0.0469,0.00711,0.00193,0.0856,0.383,126.008,pop
Happy Ending,MIKA,Life In Cartoon Motion,MIKA,273800,0.561,0.436,-8.375,0.0285,0.554,0,0.217,0.308,96.032,pop
Down Under,Men At Work,The Best Of Men At Work: Contraband,Men At Work,220866,0.746,0.79,-4.7,0.0257,0.0485,0.0261,0.0534,0.891,107.231,rock
Give It To Me - Radio Edit,"Timbaland, Justin Timberlake, Nelly Furtado",Big Brother 07 Party Mix,Various Artists,212533,0.975,0.644,-5.702,0.0699,0.152,0.0272,0.0899,0.845,110.613,pop
Delicate,Taylor Swift,reputation,Taylor Swift,232253,0.75,0.404,-10.178,0.0682,0.216,3.57e-4,0.0911,0.0499,95.045,pop
2step (feat. Budjerah),"Ed Sheeran, Budjerah",2step (feat. Budjerah),"Ed Sheeran, Budjerah",153426,0.727,0.621,-4.784,0.0555,0.212,0,0.114,0.565,94.958,pop
True Tears Of Joy,Hunters & Collectors,Cut,Hunters & Collectors,273480,0.643,0.771,-5.652,0.0351,0.0979,8.22e-5,0.0611,0.807,101.756,rock
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,R.E.D. (Deluxe Edition),Ne-Yo,251626,0.658,0.677,-6.628,0.0393,0.248,0,0.368,0.248,124.91,pop
Head over Feet - 2015 Remaster,Alanis Morissette,Jagged Little Pill (Collector's Edition),Alanis Morissette,267293,0.482,0.808,-7.176,0.065,0.0562,0,0.202,0.438,79.599,pop
Fake,"Lauv, Conan Gray",Fake,"Lauv, Conan Gray",146375,0.709,0.66,-5.387,0.0753,0.133,0,0.131,0.476,82.972,pop
Don't Wanna Go Home,Jason Derulo,Future History (Deluxe Edition),Jason Derulo,206080,0.671,0.808,-4.861,0.0652,0.02,0,0.134,0.637,121.956,pop
Life's Been Good,Joe Walsh,"But Seriously, Folks...",Joe Walsh,536226,0.505,0.476,-12.897,0.0711,0.25,0.00915,0.113,0.542,99.31,rock
California Dreamin' - Single Version,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,The Mamas & The Papas,162373,0.552,0.608,-9.786,0.0345,0.352,0,0.0533,0.637,112.367,rock
